config,seed,epoch,returncode,elapsed_sec,nan_detected,recall@20,ndcg@20,recall@40,ndcg@40
mfbpr,0,100,0,899.7,False,0.0297522583144308,0.0267240247072067,0.0510059811539195,0.0345078477636221
lightgcn,0,100,0,1068.5,False,0.0901295897707515,0.0764599524529042,0.1454855174373454,0.0967181534812463
lightgcl_s0,0,100,0,1052.1,False,0.1001517152544739,0.0863750094783292,0.1593102973527008,0.1078971594830806
s1_band005_015,0,100,0,1051.1,False,0.0991573901105984,0.0857779187815738,0.1574832739028542,0.1069061367106942
s1_band002_010,0,100,0,1080.2,False,0.1005986237981347,0.0863060322827856,0.1568362986623891,0.1066563479038114
s1_band010_020,0,100,0,1051.4,False,0.099026233460322,0.0853448596470891,0.1568386233879243,0.1064078263241821
s2_a0.3,0,100,0,1055.8,False,0.1011840935707631,0.0875471806592084,0.1610488077523573,0.1092885950651072
s2_a0.5,0,100,0,1058.0,False,0.101106523702531,0.087438744478393,0.1612476072527692,0.1093070262718002
s3_a1.0_tw10,0,100,0,1056.3,False,0.1009430465789282,0.0872598613226586,0.1600268309019013,0.1087507562899181
s3_a1.5_tw10,0,100,0,1052.7,False,0.1008843262935617,0.0868787055665957,0.1599984782833173,0.1083597581982788
s3_a1.0_tw5,0,100,0,1054.8,False,0.1007273211161086,0.0869362156873419,0.1604171374763072,0.1086108162473623
lightgcl_s0,1,100,0,1054.8,False,0.1014504640827014,0.0873775845624614,0.1610868424087241,0.109106116916465
lightgcl_s0,2,100,0,1053.5,False,0.0999442211352346,0.0859894507297173,0.1595839456742321,0.1076641406561463
s2_a0.3,1,100,0,1053.8,False,0.1024784215514743,0.0884520827424037,0.1618360927577479,0.1099471038233558
s2_a0.3,2,100,0,1056.4,False,0.1021352126069126,0.0876262079909605,0.1610787656989106,0.1090084830876626
s3_a1.0_tw10,1,100,0,1055.7,False,0.1020726882681074,0.0878486256314355,0.1607194358771159,0.1090937650610917
s3_a1.0_tw10,2,100,0,1057.5,False,0.101582390247082,0.0873528454311643,0.1595733342370536,0.1084654637843107
mfbpr,1,100,0,883.2,False,0.0300134103959987,0.0269178253599688,0.0517925108360878,0.0349008762470415
lightgcn,1,100,0,1049.8,False,0.090087423081146,0.0763237182789214,0.1458105070261373,0.0967192139172306
s1_band002_010,1,100,0,1051.9,False,0.0993752633613821,0.0852915260049236,0.155836537127009,0.1057751039864124
simgcl,0,100,0,771.8,False,0.1078322812029035,0.0932251640045554,0.1717693504301799,0.1164102385455161
simgcl,1,100,0,769.6,False,0.1081591217004809,0.0933879851584823,0.1716270563115033,0.1165171119464462
