config,seed,bucket,n_users,recall@20,ndcg@20
lightgcl_s0,1,tail,9918,0.09980672824744209,0.06903706481960134
lightgcl_s0,1,mid,10047,0.10903649021923087,0.08342612320585552
lightgcl_s0,1,head,9565,0.09507922107934312,0.11059994095877625
lightgcl_s0,1,overall,29530,0.10141569582169523,0.08739520162549039
lightgcl_s0,2,tail,9918,0.09799408694977356,0.06727951985770164
lightgcl_s0,2,mid,10047,0.10763883465158448,0.08252629808031675
lightgcl_s0,2,head,9565,0.0937300203424892,0.10907441277735479
lightgcl_s0,2,overall,29530,0.09989435728710575,0.08600463098466055
s2_a0.3,1,tail,9918,0.10181021282049714,0.06966591833287457
s2_a0.3,1,mid,10047,0.10982534293299162,0.08478860726855122
s2_a0.3,1,head,9565,0.09522115814629753,0.11178483055780096
s2_a0.3,1,overall,29530,0.10240295593873325,0.08845376293728244
s2_a0.3,2,tail,9918,0.10168198715536889,0.06938499750883101
s2_a0.3,2,mid,10047,0.109155457959084,0.08353239534955184
s2_a0.3,2,head,9565,0.09507877893664152,0.11084587614684767
s2_a0.3,2,overall,29530,0.10208585693365532,0.08762787628561232
s3_a1.0_tw10,1,tail,9918,0.10096953317234623,0.06875814891188144
s3_a1.0_tw10,1,mid,10047,0.10910612661686406,0.08398072860727855
s3_a1.0_tw10,1,head,9565,0.09540062634888305,0.11167140109578981
s3_a1.0_tw10,1,overall,29530,0.10193403573146052,0.08783727235714855
s3_a1.0_tw10,2,tail,9918,0.1012742156344697,0.06937940054897782
s3_a1.0_tw10,2,mid,10047,0.10867592681268864,0.08331187941990445
s3_a1.0_tw10,2,head,9565,0.09434927096766593,0.11024686814087781
s3_a1.0_tw10,2,overall,29530,0.10154945764156717,0.08735694686569719
