config,seed,epoch,returncode,elapsed_sec,nan_detected,recall@20,ndcg@20,recall@40,ndcg@40
lightgcl_s0,1,100,0,1054.8,False,0.10145046408270142,0.08737758456246142,0.1610868424087241,0.10910611691646509
lightgcl_s0,2,100,0,1053.5,False,0.09994422113523466,0.08598945072971734,0.15958394567423217,0.10766414065614634
s2_a0.3,1,100,0,1053.8,False,0.1024784215514743,0.08845208274240378,0.16183609275774793,0.10994710382335587
s2_a0.3,2,100,0,1056.4,False,0.1021352126069126,0.08762620799096056,0.16107876569891066,0.10900848308766269
s3_a1.0_tw10,1,100,0,1055.7,False,0.10207268826810745,0.08784862563143557,0.16071943587711598,0.10909376506109175
s3_a1.0_tw10,2,100,0,1057.5,False,0.101582390247082,0.08735284543116432,0.15957333423705367,0.10846546378431074
mfbpr,1,100,0,883.2,False,0.030013410395998745,0.026917825359968898,0.05179251083608784,0.03490087624704157
lightgcn,1,100,0,1049.8,False,0.09008742308114605,0.07632371827892145,0.1458105070261373,0.09671921391723065
s1_band002_010,1,100,0,1051.9,False,0.09937526336138215,0.08529152600492369,0.15583653712700904,0.10577510398641245
simgcl,0,100,0,771.8,False,0.10783228120290353,0.09322516400455541,0.17176935043017993,0.11641023854551612
simgcl,1,100,0,769.6,False,0.1081591217004809,0.09338798515848232,0.17162705631150332,0.11651711194644622
